CVE,DESCRIP
D77X,Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas en otra parte
E351,Trastornos de las glándulas suprarrenales en enfermedades clasificadas en otra parte
F000,"Demencia en la enfermedad de Alzheimer, de comienzo temprano"
F001,"Demencia en la enfermedad de Alzheimer, de comienzo tardío"
F002,"Demencia en la enfermedad de Alzheimer, atípica o de tipo mixto"
F009,"Demencia en la enfermedad de Alzheimer, no especificada"
F020,Demencia en la enfermedad de Pick
F021,Demencia en la enfermedad de Creutzfeldt-Jakob
F022,Demencia en la enfermedad de Huntington
F023,Demencia en la enfermedad de Parkinson
F028,Demencia en otras enfermedades especificadas clasificadas en otra parte
G01X,Meningitis en enfermedades bacterianas clasificadas en otra parte
G020,Meningitis en enfermedades virales clasificadas en otra parte
G021,Meningitis en micosis
G050,"Encefalitis, mielitis y encefalomielitis en enfermedades bacterianas clasificadas en otra parte"
G051,"Encefalitis, mielitis y encefalomielitis en enfermedades virales clasificadas en otra parte"
G052,"Encefalitis, mielitis y encefalomielitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte"
G07X,Absceso y granuloma intracraneal e intrarraquídeo en enfermedades clasificadas en otra parte
G530,Neuralgia postherpes zoster
G551,Compresiones de las raíces y plexos nerviosos en trastornos de los discos intervertebrales
G590,Mononeuropatía diabética
G630,Polineuropatía en enfermedades infecciosas y parasitarias clasificadas en otra parte
G632,Polineuropatía diabética
G635,Polineuropatía en trastornos del tejido conectivo sistémico
G638,Polineuropatía en otras enfermedades clasificadas en otra parte
G730,Síndromes miasténicos en enfermedades endocrinas
G737,Miopatía en otras enfermedades clasificadas en otra parte
G992,Mielopatía en enfermedades clasificadas en otra parte
G998,Otros trastornos especificados del sistema nervioso en enfermedades clasificadas en otra parte
H131,Conjuntivitis en enfermedades infecciosas y parasitarias clasificadas en otra parte
H193,Queratitis y queratoconjuntivitis en otras enfermedades clasificadas en otra parte
H320,Inflamación coriorretiniana en enfermedades infecciosas y parasitarias clasificadas en otra parte
H328,Otros trastornos coriorretinianos en enfermedades clasificadas en otra parte
H750,Mastoiditis en enfermedades infecciosas y parasitarias clasificadas en otra parte
I320,Pericarditis en enfermedades bacterianas clasificadas en otra parte
I328,Pericarditis en otras enfermedades clasificadas en otras parte
I390,Trastornos de la válvula mitral en enfermedades clasificadas en otra parte
I391,Trastornos de la válvula aórtica en enfermedades clasificadas en otra parte
I392,Trastornos de la válvula tricúspide en enfermedades clasificadas en otra parte
I393,Trastornos de la válvula pulmonar en enfermedades clasificadas en otra parte
I394,Trastornos valvulares múltiples en enfermedades clasificadas en otras parte
I398,"Endocarditis, válvula no especificada, en enfermedades clasificadas en otra parte"
I410,Miocarditis en enfermedades bacterianas clasificadas en otra parte
I412,Miocarditis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
I432,Cardiomiopatía en enfermedades nutricionales
I438,Cardiomiopatía en otras enfermedades clasificadas en otra parte
I520,Otros trastornos cardíacos en enfermedades bacterianas clasificadas en otra parte
I688,Otros trastornos cerebrovasculares en enfermedades clasificadas en otra parte
I792,Angiopatía periférica en enfermedades clasificadas en otra parte
I981,Trastornos cardiovasculares en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
I988,Otros trastornos especificados del aparato circulatorio en enfermedades clasificadas en otra parte
J171,Neumonía en enfermedades virales clasificadas en otra parte
J173,Neumonía en enfermedades parasitarias
J991,Trastornos respiratorios en otros trastornos difusos del tejido conjuntivo
J998,Trastornos respiratorios en otras enfermedades clasificadas en otra parte
K770,Trastornos del hígado en enfermedades infecciosas y parasitarias clasificadas en otra parte
K871,Trastornos del páncreas en enfermedades clasificadas en otra parte
M011,Artritis tuberculosa
M013,Artritis en otras enfermedades bacterianas clasificadas en otra parte
M070,Artropatía psoriásica interfalángica distal
M071,Artritis mutilante
M072,Espondilitis psoriásica
M073,Otras artropatías psoriásicas
M090,Artritis juvenil en la psoriasis
M145,"Artropatía en otros trastornos endocrinos, metabólicos y nutricionales"
M490,Tuberculosis de la columna vertebral
M680,Sinovitis y tenosinovitis en enfermedades bacterianas clasificadas en otra parte
M730,Bursitis gonocócica
M900,Tuberculosis ósea
M902,Osteopatía en otras enfermedades infecciosas clasificadas en otra parte
N085,Trastornos glomerulares en trastornos sistémicos del tejido conjuntivo
N164,Trastornos renales tubulointersticiales en enfermedades del tejido conjuntivo
N298,Otros trastornos del riñón y del uréter en otras enfermedades clasificadas en otra parte
N511,Trastornos del testículo y del epidídimo en enfermedades clasificadas en otra parte
N771,"Vaginitis, vulvitis y vulvovaginitis en enfermedades infecciosas y parasitarias clasificadas en otra parte"
P75X,Íleo meconial en la fibrosis quística (E84.1?)
S000,Traumatismo superficial del cuero cabelludo
S001,Contusión de los párpados y de la región periocular
S002,Otros traumatismos superficiales del párpado y de la región periocular
S003,Traumatismo superficial de la nariz
S004,Traumatismo superficial del oído
S005,Traumatismo superficial del labio y de la cavidad bucal
S007,Traumatismos superficiales múltiples de la cabeza
S008,Traumatismo superficial de otras partes de la cabeza
S009,"Traumatismo superficial de la cabeza, parte no especificada"
S010,Herida del cuero cabelludo
S011,Herida del párpado y de la región periocular
S012,Herida de la nariz
S013,Herida del oído
S014,Herida de la mejilla y de la región temporomandibular
S015,Herida del labio y de la cavidad bucal
S017,Heridas múltiples de la cabeza
S018,Herida de otras partes de la cabeza
S019,"Herida de la cabeza, parte no especificada"
S020,Fractura de la bóveda del cráneo
S021,Fractura de la base del cráneo
S022,Fractura de los huesos de la nariz
S023,Fractura del suelo de la órbita
S024,Fractura del malar y del hueso maxilar superior
S025,Fractura de los dientes
S026,Fractura del maxilar inferior
S027,Fracturas múltiples que comprometen el cráneo y los huesos de la cara
S028,Fractura de otros huesos del cráneo y de la cara
S029,"Fractura del cráneo y de los huesos de la cara, parte no especificada"
S030,Luxación del maxilar
S031,Luxación del cartílago septal de la nariz
S032,Luxación de diente
S033,Luxación de otras partes y de las no especificadas de la cabeza
S034,Esguinces y torceduras del maxilar
S035,Esguinces y torceduras de articulaciones y ligamentos de otras partes y las no especificadas de la cabeza
S040,Traumatismo del nervio óptico [II par] y de las vías ópticas
S041,Traumatismo del nervio motor ocular común [III par]
S042,Traumatismo del nervio patético [IV par]
S043,Traumatismo del nervio trigémino [V par]
S044,Traumatismo del nervio motor ocular externo [VI par]
S045,Traumatismo del nervio facial [VII par]
S046,Traumatismo del nervio acústico [VIII par]
S047,Traumatismo del nervio espinal [XI par]
S048,Traumatismo de otros nervios craneales
S049,"Traumatismo de nervios craneales, no especificado"
