NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES                                                              
Entidad de registro,2,C,ent_regis,entidad_municipio_localidad_2022,"01..32	"
Municipio o demarcación territorial de registro,3,C,mun_regis,entidad_municipio_localidad_2022,001..570                                                                 
Tamaño de localidad de registro,2,N,tloc_regis,tamaño_localidad,"01..17,99                                                                "
Localidad de registro,4,C,loc_regis,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Entidad de residencia habitual del (la) fallecido (a),2,C,ent_resid,entidad_municipio_localidad_2022,"01..35,99                                                               "
Municipio o demarcación territorial de residencia habitual del (la) fallecido (a),3,C,mun_resid,entidad_municipio_localidad_2022,"001..570,999                                                            "
Tamaño de localidad de residencia habitual del (la) fallecido (a),2,N,tloc_resid,tamaño_localidad,"01..17,99                                                                "
Localidad de residencia habitual del (la) fallecido (a),4,C,loc_resid,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Entidad de ocurrencia,2,C,ent_ocurr,entidad_municipio_localidad_2022,"01..32,99                                                                "
Municipio o demarcación territorial de ocurrencia,3,C,mun_ocurr,entidad_municipio_localidad_2022,"001..570,999                                                             "
Tamaño de localidad de ocurrencia,2,N,tloc_ocurr,tamaño_localidad,"01..17,99                                                                "
Localidad de ocurrencia,4,C,loc_ocurr,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Causa de la defunción (lista detallada),4,C,causa_def,causa_defuncion,A000..Y899                                                                    
Código adicional CIE,4,C,cod_adicio,codigo_adicional,"B950..P75X,S000..T983,Nulo"
Causa de la defunción (lista mexicana),3,C,lista_mex,lista_mexicana,01..61
Sexo del (la) fallecido (a),1,N,sexo,sexo,"1,2,9                                                                   "
Lugar de nacimiento,3,C,ent_nac,entidad_municipio_localidad_2022,"0001..6999,777,9999                                                       "
Condición de autodescripción como persona afromexicana,1,C,afromex,afromexi,"1,2,8,9"
Condición de autodescripción como persona indígena,1,C,conindig,conind,"1,2,8,9"
Condición de habla lengua indígena del (la) fallecido (a),1,N,lengua,lengua_indigena,"1,2,8,9                                                                 "
Clave de la lengua indígena,4,C,cve_lengua,lenguas,"0101..1101, 8000, 8888, 9000, 9010, 9020, 9030"
Nacionalidad del (la) fallecido (a),1,N,nacionalid,nacionalidad,"1,2,9                                                                  "
Nacionalidad extranjera,3,C,nacesp_cve,paises,"001-032,101..535,888,997,998,999,"
