source airport,source airport name,source city,source country,source lat,source lon,destination airport,destination airport name,destination city,destination country,destination lat,destination lon,equipment
AER,SOCHI,SOCHI,RUSSIA,43.446,39.947,KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,CR2
ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,46.283,48.006,KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,CR2
ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,46.283,48.006,MRV,MINERALNYYE VODY,MINERALNYE VODY,RUSSIA,44.225,43.082,CR2
CEK,BALANDINO,CHELYABINSK,RUSSIA,55.303,61.507,KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,CR2
KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,AER,SOCHI,SOCHI,RUSSIA,43.446,39.947,CR2
KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,46.283,48.006,CR2
KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,CEK,BALANDINO,CHELYABINSK,RUSSIA,55.303,61.507,CR2
KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,LED,PULKOVO,ST. PETERSBURG,RUSSIA,59.8,30.265,CR2
KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,56.741,60.804,CR2
LED,PULKOVO,ST. PETERSBURG,RUSSIA,59.8,30.265,KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,CR2
LED,PULKOVO,ST. PETERSBURG,RUSSIA,59.8,30.265,NBC,BEAUFORT MCAS,BEAUFORT,USA,32.477,-80.723,CR2
MRV,MINERALNYYE VODY,MINERALNYE VODY,RUSSIA,44.225,43.082,ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,46.283,48.006,CR2
NBC,BEAUFORT MCAS,BEAUFORT,USA,32.477,-80.723,LED,PULKOVO,ST. PETERSBURG,RUSSIA,59.8,30.265,CR2
NBC,BEAUFORT MCAS,BEAUFORT,USA,32.477,-80.723,SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,56.741,60.804,CR2
NJC,NIZHNEVARTOVSK,NIZHNEVARTOVSK,RUSSIA,60.95,76.467,SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,56.741,60.804,CR2
SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,56.741,60.804,KZN,KAZAN,KAZAN,RUSSIA,55.608,49.277,CR2
SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,56.741,60.804,NBC,BEAUFORT MCAS,BEAUFORT,USA,32.477,-80.723,CR2
SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,56.741,60.804,NJC,NIZHNEVARTOVSK,NIZHNEVARTOVSK,RUSSIA,60.95,76.467,CR2
BTK,BRATSK,BRATSK,RUSSIA,56.371,101.699,IKT,IRKUTSK,IRKUTSK,RUSSIA,52.267,104.395,A81
HTA,KADALA,CHITA,RUSSIA,52.026,113.305,IKT,IRKUTSK,IRKUTSK,RUSSIA,52.267,104.395,AN4
IKT,IRKUTSK,IRKUTSK,RUSSIA,52.267,104.395,BTK,BRATSK,BRATSK,RUSSIA,56.371,101.699,A81
IKT,IRKUTSK,IRKUTSK,RUSSIA,52.267,104.395,HTA,KADALA,CHITA,RUSSIA,52.026,113.305,AN4
IKT,IRKUTSK,IRKUTSK,RUSSIA,52.267,104.395,YKS,YAKUTSK,YAKUTSK,RUSSIA,62.093,129.771,A81
YKS,YAKUTSK,YAKUTSK,RUSSIA,62.093,129.771,IKT,IRKUTSK,IRKUTSK,RUSSIA,52.267,104.395,A81
AYP,CORONEL FAP ALFREDO MENDIVIL DUARTE,AYACUCHO,PERU,-13.155,-74.204,LIM,JORGE CHAVEZ INTERNATIONAL,LIMA,PERU,-12.022,-77.114,142
CUZ,VELAZCO ASTETE,CUZCO,PERU,-13.536,-71.939,LIM,JORGE CHAVEZ INTERNATIONAL,LIMA,PERU,-12.022,-77.114,142 141
CUZ,VELAZCO ASTETE,CUZCO,PERU,-13.536,-71.939,PEM,PADRE ALDAMIZ,PUERTO MALDONADO,PERU,-12.614,-69.229,142
