Académico,Tipo,Año,Cantidad
A,Publicados,2020,2
B,Publicados,2020,3
C,Publicados,2020,2
D,Publicados,2020,2
E,Publicados,2020,6
F,Publicados,2020,0
G,Publicados,2020,0
H,Publicados,2020,1
I,Publicados,2020,1
J,Publicados,2020,4
K,Publicados,2020,0
L,Publicados,2020,3
M,Publicados,2020,0
N,Publicados,2020,0
O,Publicados,2020,1
A,Publicados,2021,0
B,Publicados,2021,2
C,Publicados,2021,3
D,Publicados,2021,2
E,Publicados,2021,4
F,Publicados,2021,0
G,Publicados,2021,0
H,Publicados,2021,3
I,Publicados,2021,2
J,Publicados,2021,1
K,Publicados,2021,1
L,Publicados,2021,1
M,Publicados,2021,1
N,Publicados,2021,1
O,Publicados,2021,1
A,Publicados,2022,0
B,Publicados,2022,0
C,Publicados,2022,1
D,Publicados,2022,1
E,Publicados,2022,5
F,Publicados,2022,1
G,Publicados,2022,0
H,Publicados,2022,2
I,Publicados,2022,2
J,Publicados,2022,3
K,Publicados,2022,1
L,Publicados,2022,2
M,Publicados,2022,2
N,Publicados,2022,0
O,Publicados,2022,1
A,Publicados,2023,1
B,Publicados,2023,0
C,Publicados,2023,4
D,Publicados,2023,1
E,Publicados,2023,7
F,Publicados,2023,2
G,Publicados,2023,1
H,Publicados,2023,3
I,Publicados,2023,1
J,Publicados,2023,3
K,Publicados,2023,1
L,Publicados,2023,0
M,Publicados,2023,1
N,Publicados,2023,0
O,Publicados,2023,0
A,Aceptados,2020,0
B,Aceptados,2020,0
C,Aceptados,2020,0
D,Aceptados,2020,1
E,Aceptados,2020,0
F,Aceptados,2020,0
G,Aceptados,2020,0
H,Aceptados,2020,0
I,Aceptados,2020,0
J,Aceptados,2020,0
K,Aceptados,2020,0
L,Aceptados,2020,0
M,Aceptados,2020,0
N,Aceptados,2020,0
O,Aceptados,2020,0
A,Aceptados,2021,0
B,Aceptados,2021,2
C,Aceptados,2021,1
D,Aceptados,2021,0
E,Aceptados,2021,0
F,Aceptados,2021,0
G,Aceptados,2021,0
H,Aceptados,2021,0
I,Aceptados,2021,0
J,Aceptados,2021,0
K,Aceptados,2021,0
L,Aceptados,2021,0
M,Aceptados,2021,0
N,Aceptados,2021,0
O,Aceptados,2021,0
A,Aceptados,2022,0
B,Aceptados,2022,1
C,Aceptados,2022,0
D,Aceptados,2022,0
E,Aceptados,2022,3
F,Aceptados,2022,0
G,Aceptados,2022,0
H,Aceptados,2022,0
I,Aceptados,2022,0
J,Aceptados,2022,0
K,Aceptados,2022,0
L,Aceptados,2022,0
M,Aceptados,2022,0
N,Aceptados,2022,0
O,Aceptados,2022,0
A,Aceptados,2023,0
B,Aceptados,2023,0
C,Aceptados,2023,0
D,Aceptados,2023,0
E,Aceptados,2023,0
F,Aceptados,2023,1
G,Aceptados,2023,1
H,Aceptados,2023,0
I,Aceptados,2023,1
J,Aceptados,2023,0
K,Aceptados,2023,0
L,Aceptados,2023,0
M,Aceptados,2023,0
N,Aceptados,2023,0
O,Aceptados,2023,0
A,Repositorios,2020,0
B,Repositorios,2020,0
C,Repositorios,2020,0
D,Repositorios,2020,0
E,Repositorios,2020,0
F,Repositorios,2020,0
G,Repositorios,2020,0
H,Repositorios,2020,0
I,Repositorios,2020,3
J,Repositorios,2020,0
K,Repositorios,2020,0
L,Repositorios,2020,0
M,Repositorios,2020,1
N,Repositorios,2020,0
O,Repositorios,2020,0
A,Repositorios,2021,0
B,Repositorios,2021,0
C,Repositorios,2021,0
D,Repositorios,2021,0
E,Repositorios,2021,0
F,Repositorios,2021,0
G,Repositorios,2021,0
H,Repositorios,2021,0
I,Repositorios,2021,1
J,Repositorios,2021,0
K,Repositorios,2021,0
L,Repositorios,2021,0
M,Repositorios,2021,1
N,Repositorios,2021,0
O,Repositorios,2021,0
A,Repositorios,2022,0
B,Repositorios,2022,0
C,Repositorios,2022,1
D,Repositorios,2022,0
E,Repositorios,2022,0
F,Repositorios,2022,0
G,Repositorios,2022,0
H,Repositorios,2022,0
I,Repositorios,2022,0
J,Repositorios,2022,0
K,Repositorios,2022,0
L,Repositorios,2022,0
M,Repositorios,2022,0
N,Repositorios,2022,0
O,Repositorios,2022,0
A,Repositorios,2023,0
B,Repositorios,2023,0
C,Repositorios,2023,0
D,Repositorios,2023,0
E,Repositorios,2023,0
F,Repositorios,2023,0
G,Repositorios,2023,0
H,Repositorios,2023,0
I,Repositorios,2023,0
J,Repositorios,2023,6
K,Repositorios,2023,0
L,Repositorios,2023,1
M,Repositorios,2023,0
N,Repositorios,2023,0
O,Repositorios,2023,0
A,Memorias,2020,0
B,Memorias,2020,2
C,Memorias,2020,1
D,Memorias,2020,0
E,Memorias,2020,0
F,Memorias,2020,0
G,Memorias,2020,0
H,Memorias,2020,2
I,Memorias,2020,0
J,Memorias,2020,0
K,Memorias,2020,0
L,Memorias,2020,0
M,Memorias,2020,0
N,Memorias,2020,2
O,Memorias,2020,0
A,Memorias,2021,0
B,Memorias,2021,1
C,Memorias,2021,0
D,Memorias,2021,0
E,Memorias,2021,2
F,Memorias,2021,0
G,Memorias,2021,1
H,Memorias,2021,4
I,Memorias,2021,0
J,Memorias,2021,0
K,Memorias,2021,1
L,Memorias,2021,0
M,Memorias,2021,0
N,Memorias,2021,0
O,Memorias,2021,0
A,Memorias,2022,0
B,Memorias,2022,0
C,Memorias,2022,0
D,Memorias,2022,0
E,Memorias,2022,0
F,Memorias,2022,4
G,Memorias,2022,0
H,Memorias,2022,2
I,Memorias,2022,0
J,Memorias,2022,0
K,Memorias,2022,0
L,Memorias,2022,0
M,Memorias,2022,0
N,Memorias,2022,1
O,Memorias,2022,0
A,Memorias,2023,0
B,Memorias,2023,1
C,Memorias,2023,0
D,Memorias,2023,0
E,Memorias,2023,2
F,Memorias,2023,3
G,Memorias,2023,1
H,Memorias,2023,1
I,Memorias,2023,0
J,Memorias,2023,1
K,Memorias,2023,1
L,Memorias,2023,0
M,Memorias,2023,0
N,Memorias,2023,0
O,Memorias,2023,0
A,Posgrado,2020,2
B,Posgrado,2020,0
C,Posgrado,2020,2
D,Posgrado,2020,4
E,Posgrado,2020,2
F,Posgrado,2020,0
G,Posgrado,2020,0
H,Posgrado,2020,0
I,Posgrado,2020,2
J,Posgrado,2020,2
K,Posgrado,2020,2
L,Posgrado,2020,1
M,Posgrado,2020,0
N,Posgrado,2020,0
O,Posgrado,2020,0
A,Posgrado,2021,2
B,Posgrado,2021,2
C,Posgrado,2021,2
D,Posgrado,2021,1
E,Posgrado,2021,2
F,Posgrado,2021,2
G,Posgrado,2021,4
H,Posgrado,2021,0
I,Posgrado,2021,2
J,Posgrado,2021,2
K,Posgrado,2021,1
L,Posgrado,2021,0
M,Posgrado,2021,1
N,Posgrado,2021,0
O,Posgrado,2021,0
A,Posgrado,2022,2
B,Posgrado,2022,1
C,Posgrado,2022,2
D,Posgrado,2022,2
E,Posgrado,2022,2
F,Posgrado,2022,3
G,Posgrado,2022,5
H,Posgrado,2022,0
I,Posgrado,2022,1
J,Posgrado,2022,2
K,Posgrado,2022,1
L,Posgrado,2022,0
M,Posgrado,2022,0
N,Posgrado,2022,0
O,Posgrado,2022,0
A,Posgrado,2023,2
B,Posgrado,2023,1
C,Posgrado,2023,2
D,Posgrado,2023,1
E,Posgrado,2023,0
F,Posgrado,2023,2
G,Posgrado,2023,0
H,Posgrado,2023,0
I,Posgrado,2023,1
J,Posgrado,2023,1
K,Posgrado,2023,0
L,Posgrado,2023,2
M,Posgrado,2023,1
N,Posgrado,2023,0
O,Posgrado,2023,0
A,Licenciatura,2020,0
B,Licenciatura,2020,0
C,Licenciatura,2020,2
D,Licenciatura,2020,0
E,Licenciatura,2020,0
F,Licenciatura,2020,0
G,Licenciatura,2020,0
H,Licenciatura,2020,2
I,Licenciatura,2020,0
J,Licenciatura,2020,0
K,Licenciatura,2020,0
L,Licenciatura,2020,1
M,Licenciatura,2020,0
N,Licenciatura,2020,0
O,Licenciatura,2020,2
A,Licenciatura,2021,0
B,Licenciatura,2021,0
C,Licenciatura,2021,2
D,Licenciatura,2021,1
E,Licenciatura,2021,0
F,Licenciatura,2021,3
G,Licenciatura,2021,0
H,Licenciatura,2021,2
I,Licenciatura,2021,0
J,Licenciatura,2021,1
K,Licenciatura,2021,0
L,Licenciatura,2021,0
M,Licenciatura,2021,0
N,Licenciatura,2021,0
O,Licenciatura,2021,2
A,Licenciatura,2022,0
B,Licenciatura,2022,0
C,Licenciatura,2022,2
D,Licenciatura,2022,1
E,Licenciatura,2022,0
F,Licenciatura,2022,1
G,Licenciatura,2022,0
H,Licenciatura,2022,2
I,Licenciatura,2022,0
J,Licenciatura,2022,0
K,Licenciatura,2022,0
L,Licenciatura,2022,0
M,Licenciatura,2022,0
N,Licenciatura,2022,0
O,Licenciatura,2022,1
A,Licenciatura,2023,0
B,Licenciatura,2023,0
C,Licenciatura,2023,0
D,Licenciatura,2023,1
E,Licenciatura,2023,0
F,Licenciatura,2023,1
G,Licenciatura,2023,1
H,Licenciatura,2023,2
I,Licenciatura,2023,0
J,Licenciatura,2023,1
K,Licenciatura,2023,0
L,Licenciatura,2023,0
M,Licenciatura,2023,0
N,Licenciatura,2023,0
O,Licenciatura,2023,0
