longitude,latitude,dir,speed
0.125,45.125,228,3.12
0.375,45.125,228,3.24
0.625,45.125,229,3.34
0.875,45.125,229,3.44
1.125,45.125,228,3.48
1.375,45.125,226,3.49
1.625,45.125,225,3.50
1.875,45.125,224,3.51
2.125,45.125,222,3.52
2.375,45.125,220,3.53
2.625,45.125,218,3.54
2.875,45.125,215,3.55
3.125,45.125,208,3.59
3.375,45.125,201,3.67
3.625,45.125,194,3.80
3.875,45.125,190,3.98
4.125,45.125,188,4.18
4.375,45.125,186,4.39
4.625,45.125,184,4.52
4.875,45.125,184,4.19
5.125,45.125,186,3.54
5.375,45.125,189,2.92
5.625,45.125,191,2.41
5.875,45.125,193,2.11
6.125,45.125,193,1.90
6.375,45.125,195,1.65
6.625,45.125,196,1.52
6.875,45.125,195,1.56
7.125,45.125,194,1.65
7.375,45.125,193,1.73
7.625,45.125,199,1.79
7.875,45.125,212,1.90
8.125,45.125,223,2.10
8.375,45.125,232,2.31
8.625,45.125,238,2.32
8.875,45.125,243,2.18
9.125,45.125,250,2.06
9.375,45.125,255,1.97
9.625,45.125,257,1.90
9.875,45.125,257,1.83
-9.875,45.125,246,8.54
-9.625,45.125,247,8.70
-9.375,45.125,249,8.84
-9.125,45.125,250,8.91
-8.875,45.125,251,8.95
-8.625,45.125,252,8.99
-8.375,45.125,253,9.02
-8.125,45.125,255,9.02
-7.875,45.125,256,9.03
-7.625,45.125,257,9.03
-7.375,45.125,258,8.89
-7.125,45.125,258,8.58
-6.875,45.125,259,8.27
-6.625,45.125,260,7.97
-6.375,45.125,261,7.71
-6.125,45.125,261,7.46
-5.875,45.125,261,7.22
-5.625,45.125,261,6.99
-5.375,45.125,260,6.77
-5.125,45.125,259,6.57
-4.875,45.125,258,6.37
-4.625,45.125,256,6.18
-4.375,45.125,253,5.99
-4.125,45.125,250,5.82
-3.875,45.125,247,5.66
-3.625,45.125,244,5.59
-3.375,45.125,242,5.61
-3.125,45.125,239,5.65
-2.875,45.125,237,5.68
-2.625,45.125,235,5.60
-2.375,45.125,234,5.42
-2.125,45.125,232,5.25
-1.875,45.125,231,5.08
-1.625,45.125,231,4.90
-1.375,45.125,231,4.59
-1.125,45.125,231,3.57
-0.875,45.125,231,2.77
-0.625,45.125,230,2.83
-0.375,45.125,229,2.93
-0.125,45.125,229,3.01
0.125,45.375,232,3.22
0.375,45.375,231,3.33
0.625,45.375,232,3.43
0.875,45.375,232,3.51
1.125,45.375,231,3.53
1.375,45.375,230,3.50
1.625,45.375,229,3.46
1.875,45.375,227,3.42
2.125,45.375,225,3.40
2.375,45.375,223,3.39
2.625,45.375,221,3.38
2.875,45.375,218,3.36
3.125,45.375,211,3.34
3.375,45.375,204,3.36
3.625,45.375,197,3.43
3.875,45.375,192,3.59
4.125,45.375,190,3.79
4.375,45.375,187,4.02
4.625,45.375,186,4.18
4.875,45.375,186,3.95
5.125,45.375,188,3.40
5.375,45.375,190,2.87
5.625,45.375,193,2.42
5.875,45.375,194,2.13
6.125,45.375,195,1.92
6.375,45.375,196,1.69
6.625,45.375,197,1.60
6.875,45.375,196,1.68
7.125,45.375,195,1.75
7.375,45.375,193,1.83
7.625,45.375,198,1.86
7.875,45.375,208,1.95
8.125,45.375,217,2.17
8.375,45.375,224,2.38
8.625,45.375,228,2.36
8.875,45.375,232,2.14
9.125,45.375,237,1.92
9.375,45.375,242,1.78
9.625,45.375,245,1.73
9.875,45.375,247,1.73
-9.875,45.375,247,7.81
-9.625,45.375,248,7.96
-9.375,45.375,249,8.08
-9.125,45.375,250,8.11
-8.875,45.375,251,8.12
-8.625,45.375,252,8.12
-8.375,45.375,253,8.11
-8.125,45.375,254,8.08
-7.875,45.375,254,8.04
-7.625,45.375,255,8.01
-7.375,45.375,256,7.90
-7.125,45.375,256,7.71
-6.875,45.375,257,7.51
-6.625,45.375,258,7.32
-6.375,45.375,258,7.14
-6.125,45.375,258,6.97
-5.875,45.375,258,6.81
-5.625,45.375,258,6.65
-5.375,45.375,257,6.49
-5.125,45.375,255,6.34
-4.875,45.375,253,6.19
-4.625,45.375,251,6.07
-4.375,45.375,249,5.96
-4.125,45.375,246,5.86
-3.875,45.375,244,5.78
-3.625,45.375,241,5.76
-3.375,45.375,239,5.81
-3.125,45.375,238,5.87
-2.875,45.375,236,5.92
-2.625,45.375,235,5.85
-2.375,45.375,234,5.68
-2.125,45.375,233,5.52
-1.875,45.375,232,5.35
-1.625,45.375,232,5.15
-1.375,45.375,233,4.83
-1.125,45.375,234,3.78
-0.875,45.375,235,2.94
-0.625,45.375,234,2.99
-0.375,45.375,233,3.07
-0.125,45.375,232,3.13
0.125,45.625,236,3.10
0.375,45.625,235,3.22
0.625,45.625,235,3.34
0.875,45.625,235,3.43
1.125,45.625,234,3.43
1.375,45.625,233,3.34
1.625,45.625,232,3.26
1.875,45.625,230,3.18
2.125,45.625,228,3.12
2.375,45.625,226,3.08
2.625,45.625,223,3.05
2.875,45.625,220,3.01
3.125,45.625,213,2.98
3.375,45.625,206,2.99
3.625,45.625,199,3.04
3.875,45.625,195,3.17
4.125,45.625,192,3.38
4.375,45.625,190,3.63
4.625,45.625,188,3.84
4.875,45.625,188,3.73
5.125,45.625,190,3.33
5.375,45.625,193,2.91
5.625,45.625,196,2.54
5.875,45.625,197,2.35
6.125,45.625,197,2.29
6.375,45.625,198,2.21
6.625,45.625,198,2.20
6.875,45.625,196,2.16
7.125,45.625,194,1.99
7.375,45.625,190,1.83
7.625,45.625,190,1.68
7.875,45.625,196,1.74
8.125,45.625,203,2.00
8.375,45.625,207,2.26
8.625,45.625,209,2.35
8.875,45.625,211,2.23
9.125,45.625,215,2.05
9.375,45.625,219,1.92
9.625,45.625,222,1.88
9.875,45.625,225,1.88
-9.875,45.625,248,7.12
-9.625,45.625,249,7.30
-9.375,45.625,249,7.42
-9.125,45.625,250,7.49
-8.875,45.625,251,7.53
-8.625,45.625,251,7.56
-8.375,45.625,252,7.56
-8.125,45.625,252,7.53
-7.875,45.625,253,7.50
-7.625,45.625,253,7.48
-7.375,45.625,254,7.41
