ENTRESI,CASOS,DEFUNCIONES,POB
AGUASCALIENTES,2357,289,1425607
BAJA CALIFORNIA,5589,1266,3769020
BAJA CALIFORNIA SUR,2517,177,798447
CAMPECHE,1055,196,928363
CHIAPAS,1187,275,5543828
CHIHUAHUA,5387,1047,3741869
CIUDAD DE MEXICO,52353,4376,9209944
COAHUILA DE ZARAGOZA,7415,931,3146771
COLIMA,1170,172,731391
DURANGO,3795,343,1832650
GUANAJUATO,12562,1207,6166934
GUERRERO,3824,561,3540685
HIDALGO,3510,689,3082841
JALISCO,7549,1388,8348151
MEXICO,23532,4878,16992418
MICHOACAN DE OCAMPO,5517,689,4748846
MORELOS,1823,371,1971520
NAYARIT,1073,196,1235456
NUEVO LEON,12010,1282,5784442
OAXACA,4645,490,4132148
PUEBLA,8099,1418,6583278
QUERETARO,4891,445,2368467
QUINTANA ROO,2350,403,1857985
SAN LUIS POTOSI,5599,607,2822255
SINALOA,4430,1063,3026943
SONORA,8934,1059,2944840
TABASCO,5746,473,2402598
TAMAULIPAS,5696,807,3527735
TLAXCALA,1999,375,1342977
VERACRUZ DE IGNACIO DE LA LLAVE,6605,1417,8062579
YUCATAN,3899,607,2320898
ZACATECAS,2938,330,1622138
