date,precipitation,temp_max,temp_min,wind
01/01/12,1.8,10,3.3,5.1
02/01/12,0,10,0.6,8.7
03/01/12,0,0.6,-8.9,8.2
04/01/12,0,-1.7,-10.6,5.5
05/01/12,0,5.6,-3.3,5.4
06/01/12,0,12.2,0,4.6
07/01/12,0,16.1,2.2,4.7
08/01/12,0,8.9,0.6,6.2
09/01/12,0,3.9,-1.7,2.7
10/01/12,0,8.9,-1.1,5.5
11/01/12,3,8.3,-0.6,3.6
12/01/12,22.9,9.4,5.6,6.1
13/01/12,0,10,-1.7,11.4
14/01/12,0,1.1,-2.8,8.1
15/01/12,0,-2.2,-8.9,7.6
16/01/12,0,3.9,-10,5.3
17/01/12,5.8,10,2.8,5.2
18/01/12,0,11.7,-4.4,8.8
19/01/12,0,3.3,-7.8,4.7
20/01/12,0,2.8,-2.8,5.9
21/01/12,4.3,-1.7,-5,6.2
22/01/12,0,1.1,-7.8,4.2
23/01/12,5.8,10.6,0.6,5.1
24/01/12,0,12.2,4.4,5.4
25/01/12,0,7.8,2.8,5.6
26/01/12,4.6,6.7,1.1,2.6
27/01/12,7.4,14.4,6.7,7.3
28/01/12,0,7.8,2.8,6
29/01/12,0,6.7,0.6,7
30/01/12,0,5,1.1,7.1
31/01/12,0,13.9,2.8,4.9
01/02/12,0.8,17.8,5.6,5.2
02/02/12,0,10.6,2.2,5.7
03/02/12,0,7.2,-1.1,6.1
04/02/12,0,8.3,1.7,4.3
05/02/12,0,5,0.6,3.8
06/02/12,0,10.6,-1.7,6.3
07/02/12,0,10.6,1.1,5.7
08/02/12,1,3.9,-0.6,2.2
09/02/12,0,8.3,-0.6,5
10/02/12,0,7.2,-1.1,4.3
11/02/12,3,3.3,0.6,4.4
12/02/12,0,1.7,-6.1,9.5
13/02/12,0,6.7,-1.7,7.8
14/02/12,0.8,7.2,1.7,3.2
15/02/12,0.3,7.8,2.8,3
16/02/12,3,6.7,-0.6,2.4
17/02/12,1,11.7,2.8,5.3
18/02/12,0.3,7.8,2.2,5.4
19/02/12,0,7.8,0.6,4.1
20/02/12,0,8.9,-0.6,5.9
21/02/12,0,8.3,-3.3,4.7
22/02/12,0,13.9,2.2,5.4
23/02/12,0,16.1,5.6,5.5
24/02/12,9.4,7.8,3.3,5.8
25/02/12,0,8.3,1.7,12.3
26/02/12,0,7.2,-1.1,6
27/02/12,0,10.6,-0.6,6.4
28/02/12,0,10.6,3.3,6.1
29/02/12,12.4,7.2,1.1,4.9
01/03/12,2.8,5.6,2.2,4.7
