clave,descripción
1920,Año mil novecientos veinte
1921,Año mil novecientos veintiuno
1922,Año mil novecientos veintidós
1923,Año mil novecientos veintitrés
1924,Año mil novecientos veinticuatro
1925,Año mil novecientos veinticinco
1926,Año mil novecientos veintiséis
1927,Año mil novecientos veintisiete
1928,Año mil novecientos veintiocho
1929,Año mil novecientos veintinueve
1930,Año mil novecientos treinta
1931,Año mil novecientos treinta y uno
1932,Año mil novecientos treinta y dos
1933,Año mil novecientos treinta y tres
1934,Año mil novecientos treinta y cuatro
1935,Año mil novecientos treinta y cinco
1936,Año mil novecientos treinta y seis
1937,Año mil novecientos treinta y siete
1938,Año mil novecientos treinta y ocho
1939,Año mil novecientos treinta y nueve
1940,Año mil novecientos cuarenta
1941,Año mil novecientos cuarenta y uno
1942,Año mil novecientos cuarenta y dos
1943,Año mil novecientos cuarenta y tres
1944,Año mil novecientos cuarenta y cuatro
1945,Año mil novecientos cuarenta y cinco
1946,Año mil novecientos cuarenta y seis
1947,Año mil novecientos cuarenta y siete
1948,Año mil novecientos cuarenta y ocho
1949,Año mil novecientos cuarenta y nueve
1950,Año mil novecientos cincuenta
1951,Año mil novecientos cincuenta y uno
1952,Año mil novecientos cincuenta y dos
1953,Año mil novecientos cincuenta y tres
1954,Año mil novecientos cincuenta y cuatro
1955,Año mil novecientos cincuenta y cinco
1956,Año mil novecientos cincuenta y seis
1957,Año mil novecientos cincuenta y siete
1958,Año mil novecientos cincuenta y ocho
1959,Año mil novecientos cincuenta y nueve
1960,Año mil novecientos sesenta
1961,Año mil novecientos sesenta y uno
1962,Año mil novecientos sesenta y dos
1963,Año mil novecientos sesenta y tres
1964,Año mil novecientos sesenta y cuatro
1965,Año mil novecientos sesenta y cinco
1966,Año mil novecientos sesenta y seis
1967,Año mil novecientos sesenta y siete
1968,Año mil novecientos sesenta y ocho
1969,Año mil novecientos sesenta y nueve
1970,Año mil novecientos setenta
1971,Año mil novecientos setenta y uno
1972,Año mil novecientos setenta y dos
1973,Año mil novecientos setenta y tres
1974,Año mil novecientos setenta y cuatro
1975,Año mil novecientos setenta y cinco
1976,Año mil novecientos setenta y seis
1977,Año mil novecientos setenta y siete
1978,Año mil novecientos setenta y ocho
1979,Año mil novecientos setenta y nueve
1980,Año mil novecientos ochenta
1981,Año mil novecientos ochenta y uno
1982,Año mil novecientos ochenta y dos
1983,Año mil novecientos ochenta y tres
1984,Año mil novecientos ochenta y cuatro
1985,Año mil novecientos ochenta y cinco
1986,Año mil novecientos ochenta y seis
1987,Año mil novecientos ochenta y siete
1988,Año mil novecientos ochenta y ocho
1989,Año mil novecientos ochenta y nueve
1990,Año mil novecientos noventa
1991,Año mil novecientos noventa y uno
1992,Año mil novecientos noventa y dos
1993,Año mil novecientos noventa y tres
1994,Año mil novecientos noventa y cuatro
1995,Año mil novecientos noventa y cinco
1996,Año mil novecientos noventa y seis
1997,Año mil novecientos noventa y siete
1998,Año mil novecientos noventa y ocho
1999,Año mil novecientos noventa y nueve
2000,Año dos mil
2001,Año dos mil uno
2002,Año dos mil dos
2003,Año dos mil tres
2004,Año dos mil cuatro
2005,Año dos mil cinco
2006,Año dos mil seis
9999,No especificado
