clave,descripción
1,Mutuo consentimiento
2,Adulterio o infidelidad sexual
3,Alumbramiento ilegítimo
4,Propuesta de prostitución
5,Incitación a la violencia
6,Corrupción y/o maltrato a los hijos
7,Enfermedad crónica o incurable, la impotencia o esterilidad incurable
8,Enajenación mental incurable o el estado de interdicción declarado por sentencia
9,Separación del hogar conyugal por más de 1 año, con o sin causa justificada
10,Abandono de hogar por más de 3 o 6 meses, sin causa justificada
11,Declaración de ausencia o presunción de muerte
12,Sevicia, amenazas o injurias o la violencia intrafamiliar
13,Negativa a contribuir voluntariamente o por sentencia del juez familiar al sostenimiento del hogar
14,Acusación calumniosa
15,Haber cometido delito doloso o infamante
16,Hábitos de juego, embriaguez o drogas
17,Cometer acto delictivo contra el cónyuge
18,Incompatibilidad de caracteres
19,La separación por 2 años o más independientemente del motivo
20,La bigamia
21,No acompañar la mujer a su marido, cuando cambie de residencia dentro o fuera del país
22,Si un cónyuge solicitó el divorcio por causa injustificada, el demandado puede divorciarse 3 meses después de la última sentencia
23,Fecundación asistida sin consentimiento del cónyuge
24,Impedir uno de los cónyuges a otro desempeñar una actividad lícita
25,Reconocer la mujer a un hijo nacido antes del matrimonio sin consentimiento del marido
26,Uso de métodos de esterilización permanente sin consentimiento del cónyuge
27,Bisexualidad manifestada, o intención o cambio de sexo por tratamiento médico o quirúrgico
28,Sin causa (incausado)
99,No especificada
