clave,descripción
1,Un año
2,Dos años
3,Tres años
4,Cuatro años
5,Cinco años
6,Seis años
7,Siete años
8,Ocho años
9,Nueve años
10,Diez años
11,Once años
12,Doce años
13,Trece años
14,Catorce años
15,Quince años
16,Dieciséis años
17,Diecisiete años
18,Dieciocho años
19,Diecinueve años
20,Veinte años
21,Veintiún años
22,Veintidós años
23,Veintitrés años
24,Veinticuatro años
25,Veinticinco años
26,Veintiséis años
27,Veintisiete años
28,Veintiocho años
29,Veintinueve años
30,Treinta años
31,Treinta y un años
32,Treinta y dos años
33,Treinta y tres años
34,Treinta y cuatro años
35,Treinta y cinco años
36,Treinta y seis años
37,Treinta y siete años
38,Treinta y ocho años
39,Treinta y nueve años
40,Cuarenta años
41,Cuarenta y un años
42,Cuarenta y dos años
43,Cuarenta y tres años
44,Cuarenta y cuatro años
45,Cuarenta y cinco años
46,Cuarenta y seis años
47,Cuarenta y siete años
48,Cuarenta y ocho años
49,Cuarenta y nueve años
50,Cincuenta años
51,Cincuenta y un años
52,Cincuenta y dos años
53,Cincuenta y tres años
54,Cincuenta y cuatro años
55,Cincuenta y cinco años
56,Cincuenta y seis años
57,Cincuenta y siete años
58,Cincuenta y ocho años
59,Cincuenta y nueve años
60,Sesenta años
61,Sesenta y un años
62,Sesenta y dos años
63,Sesenta y tres años
64,Sesenta y cuatro años
65,Sesenta y cinco años
66,Sesenta y seis años
67,Sesenta y siete años
68,Sesenta y ocho años
69,Sesenta y nueve años
70,Setenta años
71,Setenta y un años
72,Setenta y dos años
73,Setenta y tres años
74,Setenta y cuatro años
75,Setenta y cinco años
76,Setenta y seis años
77,Setenta y siete años
78,Setenta y ocho años
79,Setenta y nueve años
80,Ochenta años
81,Ochenta y un años
82,Ochenta y dos años
83,Ochenta y tres años
84,Ochenta y cuatro años
85,Ochenta y cinco años
86,Ochenta y seis años
87,Ochenta y siete años
88,Ochenta y ocho años
89,Ochenta y nueve años
90,Noventa años
91,Noventa y un años
92,De noventa y dos y más años
93,Menos de un mes
94,De 1 a 2 meses
95,De 3 meses
96,De 4 a 5 meses
97,De 6 meses
98,De 7 a 11 meses
99,No especificada
