cve_ent,cve_mun,cve_loc,nom_loc
"01","000","0000","Aguascalientes"
"01","001","0000","Aguascalientes"
"01","001","0001","Aguascalientes"
"01","001","0127","Los Caños"
"01","001","0139","Cieneguilla (La Lumbrera)"
"01","001","0239","General José María Morelos y Pavón (Cañada Honda)"
"01","001","0315","Peñuelas (El Cienegal)"
"01","001","0355","El Salto de los Salado"
"01","001","0479","Villa Licenciado Jesús Terán (Calvillito)"
"01","001","0876","Acapulco"
"01","001","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","001","9999","Localidad no especificada"
"01","002","0000","Asientos"
"01","002","0001","Asientos"
"01","002","0011","Ciénega Grande"
"01","002","0039","Pilotos"
"01","002","0059","Villa Juárez"
"01","002","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","003","0000","Calvillo"
"01","003","0001","Calvillo"
"01","003","0021","El Cuervero (Cuerveros)"
"01","003","0036","La Labor"
"01","003","0043","Malpaso"
"01","003","0055","Ojocaliente"
"01","003","0084","San Tadeo"
"01","003","0222","Valle Huejúcar [Fraccionamiento Popular]"
"01","003","0381","Licenciado Adolfo López Mateos [Colonia]"
"01","003","0385","El Morancillo (Los Arcos)"
"01","003","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","004","0000","Cosío"
"01","004","0001","Cosío"
"01","004","0026","La Punta"
"01","004","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","004","9999","Localidad no especificada"
"01","005","0000","Jesús María"
"01","005","0001","Jesús María"
"01","005","0033","General Ignacio Zaragoza (Venadero)"
"01","005","0041","Jesús Gómez Portugal (Margaritas)"
"01","005","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","005","9999","Localidad no especificada"
"01","006","0000","Pabellón de Arteaga"
"01","006","0001","Pabellón de Arteaga"
"01","006","0007","Emiliano Zapata"
"01","006","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","006","9999","Localidad no especificada"
"01","007","0000","Rincón de Romos"
"01","007","0001","Rincón de Romos"
"01","007","0018","Pablo Escaleras"
"01","007","0030","Pabellón de Hidalgo"
"01","007","0040","San Jacinto"
"01","007","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","007","9999","Localidad no especificada"
"01","008","0000","San José de Gracia"
"01","008","0001","San José de Gracia"
"01","008","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","009","0000","Tepezalá"
"01","009","0001","Tepezalá"
"01","009","0012","El Chayote"
"01","009","0025","San Antonio"
"01","009","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","010","0000","El Llano"
"01","010","0001","Palo Alto"
"01","010","0080","Sandovales (San Miguel de los Sandovales)"
"01","010","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","011","0000","San Francisco de los Romo"
"01","011","0001","San Francisco de los Romo"
"01","011","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"01","998","0000","No aplica"
"01","999","0000","Municipio no especificado"
"01","999","9999","Localidad no especificada"
"02","000","0000","Baja California"
"02","001","0000","Ensenada"
"02","001","0001","Ensenada"
"02","001","0139","Rodolfo Sánchez Taboada (Maneadero)"
"02","001","0186","Ejido Punta Colnett (Punta Colonet)"
"02","001","0247","El Sauzal de Rodríguez"
"02","001","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"02","001","9999","Localidad no especificada"
"02","002","0000","Mexicali"
"02","002","0001","Mexicali"
"02","002","0110","Colonia Venustiano Carranza (La Carranza)"
"02","002","0111","Vicente Guerrero (Algodones)"
"02","002","0143","Ejido Colima 1"
"02","002","0157","Ejido Chiapas 1"
"02","002","0159","Delta (Estación Delta)"
"02","002","0161","Ejido Monterrey (Colonia Batáquez)"
"02","002","0185","Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres)"
"02","002","0189","Ejido Vicente Guerrero"
"02","002","0192","Ejido Hermosillo"
"02","002","0206","Ejido Jiquilpan"
"02","002","0212","Poblado Lázaro Cárdenas (La Veintiocho)"
"02","002","0231","Ciudad Morelos (Cuervos)"
"02","002","0237","Nuevo León"
"02","002","0251","Ejido Pátzcuaro"
"02","002","0256","Estación Pescaderos (Kilómetro Treinta y Nueve)"
"02","002","0268","Ejido Hechicera"
"02","002","0270","Ejido Quintana Roo"
"02","002","0327","Ejido Netzahualcóyotl"
"02","002","0394","Ricardo Mazón Guerrero (Colonia Baja California el Polvorín)"
"02","002","0395","Francisco Murguía (Kilómetro Cuarenta y Nueve)"
"02","002","0456","Benito Juárez (Ejido Tecolotes)"
"02","002","0459","Poblado Paredones"
"02","002","0461","Ciudad Coahuila (Kilómetro Cincuenta y Siete)"
"02","002","1181","Ejido Mezquital"
"02","002","1344","González Ortega 1 (Colonia Baja California)"
"02","002","4925","Renacimiento del Valle"
"02","002","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"02","002","9999","Localidad no especificada"
"02","003","0000","Tecate"
"02","003","0001","Tecate"
"02","003","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"02","003","9999","Localidad no especificada"
"02","004","0000","Tijuana"
"02","004","0001","Tijuana"
"02","004","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"02","004","9999","Localidad no especificada"
"02","005","0000","Playas de Rosarito"
"02","005","0001","Playas de Rosarito"
"02","005","9999","Localidad no especificada"
"02","006","0000","San Quintín"
"02","006","0001","San Quintín"
"02","006","0040","Camalú"
"02","006","0585","Lázaro Cárdenas"
"02","006","0863","Vicente Guerrero"
"02","006","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"02","006","9999","Localidad no especificada"
"02","007","0000","San Felipe"
"02","007","0001","San Felipe"
"02","007","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"02","007","9999","Localidad no especificada"
"02","998","0000","No aplica"
"02","999","0000","Municipio no especificado"
"02","999","9999","Localidad no especificada"
"03","000","0000","Baja California Sur"
"03","001","0000","Comondú"
"03","001","0001","Ciudad Constitución"
"03","001","0003","Puerto Adolfo López Mateos"
"03","001","0133","Ciudad Insurgentes"
"03","001","0280","Puerto San Carlos"
"03","001","0319","San Miguel de Comondú"
"03","001","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"03","001","9999","Localidad no especificada"
"03","002","0000","Mulegé"
"03","002","0001","Santa Rosalía"
"03","002","0014","Bahía Asunción"
"03","002","0015","Bahía Tortugas"
"03","002","0056","Estero de la Bocana"
"03","002","0066","Guerrero Negro"
"03","002","0097","Heroica Mulegé"
"03","002","0149","San Ignacio"
"03","002","0482","Villa Alberto Andrés Alvarado Arámburo"
"03","002","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"03","002","9999","Localidad no especificada"
"03","003","0000","La Paz"
"03","003","0001","La Paz"
"03","003","0003","Todos Santos"
"03","003","0697","San Juan de los Planes"
"03","003","0766","San Antonio"
"03","003","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"03","003","9999","Localidad no especificada"
"03","008","0000","Los Cabos"
"03","008","0001","San José del Cabo"
"03","008","0054","Cabo San Lucas"
"03","008","0217","La Ribera"
"03","008","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"03","008","9999","Localidad no especificada"
"03","009","0000","Loreto"
"03","009","0001","Loreto"
"03","009","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"03","009","9999","Localidad no especificada"
"03","998","0000","No aplica"
"03","999","0000","Municipio no especificado"
"03","999","9999","Localidad no especificada"
"04","000","0000","Campeche"
"04","001","0000","Calkiní"
"04","001","0001","Calkiní"
"04","001","0004","Bécal"
"04","001","0008","Nunkiní"
"04","001","0009","Pucnachén"
"04","001","0010","San Antonio Sahcabchén"
"04","001","0013","Santa Cruz Pueblo"
"04","001","0015","Tepakán"
"04","001","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","001","9999","Localidad no especificada"
"04","002","0000","Campeche"
"04","002","0001","San Francisco de Campeche"
"04","002","0073","Castamay"
"04","002","0077","Chiná"
"04","002","0081","Hampolol"
"04","002","0087","Lerma"
"04","002","0110","Alfredo V. Bonfil"
"04","002","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","002","9999","Localidad no especificada"
"04","003","0000","Carmen"
"04","003","0001","Ciudad del Carmen"
"04","003","0005","Nuevo Progreso"
"04","003","0006","Atasta"
"04","003","0013","Puerto Rico"
"04","003","0066","Plan de Ayala"
"04","003","0080","Oxcabal"
"04","003","0081","Chicbul"
"04","003","0101","San Antonio Cárdenas"
"04","003","0199","Isla Aguada"
"04","003","0611","Chekubul"
"04","003","0614","Sabancuy"
"04","003","3263","Conquista Campesina"
"04","003","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","003","9999","Localidad no especificada"
"04","004","0000","Champotón"
"04","004","0001","Champotón"
"04","004","0010","Aquiles Serdán (Chuiná)"
"04","004","0017","Ciudad del Sol"
"04","004","0024","San Pablo Pixtún"
"04","004","0036","Sihochac"
"04","004","0044","Villa de Guadalupe"
"04","004","0047","Xbacab"
"04","004","0432","Carrillo Puerto"
"04","004","0442","Cinco de Febrero"
"04","004","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","004","9999","Localidad no especificada"
"04","005","0000","Hecelchakán"
"04","005","0001","Hecelchakán"
"04","005","0002","Cumpich"
"04","005","0004","Dzitnup"
"04","005","0006","Pocboc"
"04","005","0007","Pomuch"
"04","005","0008","Santa Cruz"
"04","005","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","005","9999","Localidad no especificada"
"04","006","0000","Hopelchén"
"04","006","0001","Hopelchén"
"04","006","0003","Bolonchén de Rejón"
"04","006","0023","Vicente Guerrero"
"04","006","0054","Xcupil"
"04","006","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","007","0000","Palizada"
"04","007","0001","Palizada"
"04","007","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","008","0000","Tenabo"
"04","008","0001","Tenabo"
"04","008","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","009","0000","Escárcega"
"04","009","0001","Escárcega"
"04","009","0108","Don Samuel"
"04","009","0936","Altamira de Zináparo"
"04","009","1002","Silvituc"
"04","009","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","010","0000","Calakmul"
"04","010","0001","Xpujil"
"04","010","0066","Constitución"
"04","010","0095","Gustavo Díaz Ordaz (San Antonio Soda)"
"04","010","0272","Zoh-Laguna (Álvaro Obregón)"
"04","010","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","010","9999","Localidad no especificada"
"04","011","0000","Candelaria"
"04","011","0001","Candelaria"
"04","011","0187","Estado de México"
"04","011","0340","Miguel Alemán"
"04","011","0342","Miguel Hidalgo y Costilla"
"04","011","0371","Nuevo Coahuila"
"04","011","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","012","0000","Seybaplaya"
"04","012","0001","Seybaplaya"
"04","012","0055","Villa Madero"
"04","012","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","013","0000","Dzitbalché"
"04","013","0001","Dzitbalché"
"04","013","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"04","998","0000","No aplica"
"05","000","0000","Coahuila de Zaragoza"
"05","001","0000","Abasolo"
"05","001","0001","Abasolo"
"05","002","0000","Acuña"
"05","002","0001","Ciudad Acuña"
"05","002","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","002","9999","Localidad no especificada"
"05","003","0000","Allende"
"05","003","0001","Allende"
"05","003","0016","Río Bravo"
"05","003","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","003","9999","Localidad no especificada"
"05","004","0000","Arteaga"
"05","004","0001","Arteaga"
"05","004","0047","Escobedo"
"05","004","0107","San Antonio de las Alazanas"
"05","004","0145","El Tunal"
"05","004","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","004","9999","Localidad no especificada"
"05","005","0000","Candela"
"05","005","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","006","0000","Castaños"
"05","006","0001","Castaños"
"05","006","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","006","9999","Localidad no especificada"
"05","007","0000","Cuatro Ciénegas"
"05","007","0001","Cuatro Ciénegas de Carranza"
"05","007","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","008","0000","Escobedo"
"05","008","0001","Escobedo"
"05","008","0009","Primero de Mayo"
"05","008","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","009","0000","Francisco I. Madero"
"05","009","0001","Francisco I. Madero  "
"05","009","0007","Francisco I. Madero (Banco de Londres)"
"05","009","0010","Buenavista de Arriba"
"05","009","0014","La Coruña"
"05","009","0023","La Florida"
"05","009","0025","Hidalgo"
"05","009","0028","Lequeitio"
"05","009","0038","La Pinta"
"05","009","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","009","9999","Localidad no especificada"
"05","010","0000","Frontera"
"05","010","0001","Frontera"
"05","010","0002","La Cruz"
"05","010","0005","Ocho de Enero"
"05","010","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","010","9999","Localidad no especificada"
"05","011","0000","General Cepeda"
"05","011","0001","General Cepeda"
"05","011","0059","La Rosa"
"05","011","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","011","9999","Localidad no especificada"
"05","012","0000","Guerrero"
"05","012","0001","Guerrero"
"05","012","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","013","0000","Hidalgo"
"05","013","0001","Hidalgo"
"05","013","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","014","0000","Jiménez"
"05","014","0001","Jiménez"
"05","014","0006","Madero del Río"
"05","014","0014","Palmira (Victoria)"
"05","014","0018","Purísima"
"05","014","0020","San Carlos"
"05","014","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","015","0000","Juárez"
"05","015","0001","Juárez"
"05","015","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","016","0000","Lamadrid"
"05","016","0001","Lamadrid"
"05","017","0000","Matamoros"
"05","017","0001","Matamoros"
"05","017","0005","Unión del Barreal"
"05","017","0012","San Antonio del Coyote"
"05","017","0025","Hidalgo"
"05","017","0028","Manantial"
"05","017","0122","El Cambio"
"05","017","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","017","9999","Localidad no especificada"
"05","018","0000","Monclova"
"05","018","0001","Monclova"
"05","018","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","018","9999","Localidad no especificada"
"05","019","0000","Morelos"
"05","019","0001","Morelos"
"05","019","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","019","9999","Localidad no especificada"
"05","020","0000","Múzquiz"
"05","020","0001","Ciudad Melchor Múzquiz"
"05","020","0043","Las Esperanzas"
"05","020","0070","Minas de Barroterán"
"05","020","0093","Palaú"
"05","020","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","020","9999","Localidad no especificada"
"05","021","0000","Nadadores"
"05","021","0001","Nadadores"
"05","021","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","022","0000","Nava"
"05","022","0001","Nava"
"05","022","0340","Santo Domingo"
"05","022","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","022","9999","Localidad no especificada"
"05","023","0000","Ocampo"
"05","023","0001","Ocampo"
"05","023","0453","Laguna del Rey (Químicas del Rey)"
"05","023","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","024","0000","Parras"
"05","024","0001","Parras de la Fuente"
"05","024","0066","Piedra Blanca"
"05","024","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","025","0000","Piedras Negras"
"05","025","0001","Piedras Negras"
"05","025","0015","El Moral"
"05","025","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","025","9999","Localidad no especificada"
"05","026","0000","Progreso"
"05","026","0001","Progreso"
"05","026","0007","San José de Aura"
"05","026","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","027","0000","Ramos Arizpe"
"05","027","0001","Ramos Arizpe"
"05","027","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","027","9999","Localidad no especificada"
"05","028","0000","Sabinas"
"05","028","0001","Sabinas"
"05","028","0003","Cloete"
"05","028","0122","Barrio Seis (Agujita)"
"05","028","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","028","9999","Localidad no especificada"
"05","029","0000","Sacramento"
"05","029","0001","Sacramento"
"05","030","0000","Saltillo"
"05","030","0001","Saltillo"
"05","030","0079","Astillero"
"05","030","0114","El Derramadero"
"05","030","0123","Gómez Farías"
"05","030","0126","Guadalupe Victoria"
"05","030","0215","San Juan del Retiro"
"05","030","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","030","9999","Localidad no especificada"
"05","031","0000","San Buenaventura"
"05","031","0001","San Buenaventura"
"05","031","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","031","9999","Localidad no especificada"
"05","032","0000","San Juan de Sabinas"
"05","032","0001","San Juan de Sabinas"
"05","032","0014","Nueva Rosita"
"05","032","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","033","0000","San Pedro"
"05","033","0001","San Pedro"
"05","033","0022","Concordia (La Rosita)"
"05","033","0030","Frontera"
"05","033","0036","Lázaro Cárdenas (Dolores)"
"05","033","0037","Luchana"
"05","033","0042","Mayrán"
"05","033","0072","San Esteban de Abajo"
"05","033","0073","San Felipe (San Felipe de Purcell)"
"05","033","0077","San Ignacio"
"05","033","0079","San Lorenzo"
"05","033","0083","San Marcos"
"05","033","0093","Santa Brígida"
"05","033","0107","Tacubaya"
"05","033","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","033","9999","Localidad no especificada"
"05","034","0000","Sierra Mojada"
"05","034","0001","Sierra Mojada"
"05","034","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","035","0000","Torreón"
"05","035","0001","Torreón"
"05","035","0152","La Concha"
"05","035","0158","La Flor de Jimulco"
"05","035","0178","La Partida"
"05","035","0180","La Paz"
"05","035","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","035","9999","Localidad no especificada"
"05","036","0000","Viesca"
"05","036","0001","Viesca"
"05","036","0014","Gilita"
"05","036","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","037","0000","Villa Unión"
"05","037","0001","Villa Unión"
"05","037","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"05","038","0000","Zaragoza"
"05","038","0001","Zaragoza"
"05","998","0000","No aplica"
"05","999","0000","Municipio no especificado"
"05","999","9999","Localidad no especificada"
"06","000","0000","Colima"
"06","001","0000","Armería"
"06","001","0001","Ciudad de Armería"
"06","001","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","002","0000","Colima"
"06","002","0001","Colima"
"06","002","0109","Los Tepames"
"06","002","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","002","9999","Localidad no especificada"
"06","003","0000","Comala"
"06","003","0001","Comala"
"06","003","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","004","0000","Coquimatlán"
"06","004","0001","Coquimatlán"
"06","004","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","005","0000","Cuauhtémoc"
"06","005","0001","Cuauhtémoc"
"06","005","0018","Quesería"
"06","005","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","006","0000","Ixtlahuacán"
"06","006","0001","Ixtlahuacán"
"06","006","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","007","0000","Manzanillo"
"06","007","0001","Manzanillo"
"06","007","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","007","9999","Localidad no especificada"
"06","008","0000","Minatitlán"
"06","008","0001","Minatitlán"
"06","008","7777","Cifra confidencial. Establecido en la Ley del SNIEG."
"06","008","9999","Localidad no especificada"
