cve,descrip
"A010","Fiebre tifoidea"
"A020","Enteritis debida a Salmonella"
"A021","Sepsis debida a Salmonella"
"A028","Otras infecciones especificadas como debidas a Salmonella"
"A030","Shigelosis debida a Shigella dysenteriae"
"A039","Shigelosis de tipo no especificado"
"A041","Infección debida a Escherichia coli enterotoxígena"
"A044","Otras infecciones intestinales debidas a Escherichia coli"
"A047","Enterocolitis debida a Clostridium difficile"
"A049","Infección intestinal bacteriana, no especificada"
"A059","Intoxicación alimentaria bacteriana, no especificada"
"A060","Disentería amebiana aguda"
"A061","Amebiasis intestinal crónica"
"A062","Colitis amebiana no disentérica"
"A064","Absceso amebiano del hígado"
"A066","Absceso amebiano del cerebro"
"A069","Amebiasis, no especificada"
"A080","Enteritis debida a rotavirus"
"A083","Otras enteritis virales"
"A084","Infección intestinal viral, sin otra especificación"
"A090","Otras gastroenteritis y colitis de origen infeccioso"
"A099","Gastroenteritis y colitis de origen no especificado"
"A150","Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo"
"A151","Tuberculosis del pulmón, confirmada únicamente por cultivo"
"A152","Tuberculosis del pulmón, confirmada histológicamente"
"A153","Tuberculosis del pulmón, confirmada por medios no especificados"
"A154","Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente"
"A156","Pleuresía tuberculosa, confirmada bacteriológica e histológicamente"
"A157","Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente"
"A158","Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente"
"A159","Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente"
"A160","Tuberculosis del pulmón, con examen bacteriológico e histológico negativos"
"A161","Tuberculosis de pulmón, sin examen bacteriológico e histológico"
"A162","Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica"
"A163","Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica"
"A164","Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica"
"A165","Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica"
"A167","Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica"
"A168","Otras tuberculosis respiratorias, sin mención de confirmación"
"A169","Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica"
"A170","Meningitis tuberculosa"
"A171","Tuberculoma meníngeo"
"A178","Otras tuberculosis del sistema nervioso"
